bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1330314,2122681,text,32497,application/pdf,Introduced,https://legiscan.com/RI/text/S2192/id/2122681,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2192.pdf
1330401,2122778,text,17642,application/pdf,Introduced,https://legiscan.com/RI/text/S2193/id/2122778,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2193.pdf
1330119,2122471,text,35574,application/pdf,Introduced,https://legiscan.com/RI/text/S2194/id/2122471,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2194.pdf
1330420,2122800,text,13588,application/pdf,Introduced,https://legiscan.com/RI/text/S2195/id/2122800,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2195.pdf
1330120,2122473,text,20073,application/pdf,Introduced,https://legiscan.com/RI/text/S2196/id/2122473,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2196.pdf
1329935,2122259,text,43342,application/pdf,Introduced,https://legiscan.com/RI/text/S2197/id/2122259,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2197.pdf
1329926,2122239,text,42947,application/pdf,Introduced,https://legiscan.com/RI/text/S2198/id/2122239,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2198.pdf
1330456,2122843,text,91161,application/pdf,Introduced,https://legiscan.com/RI/text/S2199/id/2122843,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2199.pdf
1330194,2122550,text,54715,application/pdf,Introduced,https://legiscan.com/RI/text/S2200/id/2122550,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2200.pdf
1330203,2122561,text,25102,application/pdf,Introduced,https://legiscan.com/RI/text/S2201/id/2122561,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2201.pdf
1329970,2122312,text,14224,application/pdf,Introduced,https://legiscan.com/RI/text/S2202/id/2122312,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2202.pdf
1329852,2122093,text,18117,application/pdf,Introduced,https://legiscan.com/RI/text/S2203/id/2122093,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2203.pdf
1329894,2122153,text,112393,application/pdf,Introduced,https://legiscan.com/RI/text/S2204/id/2122153,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2204.pdf
1330043,2122390,text,10482,application/pdf,Introduced,https://legiscan.com/RI/text/S2205/id/2122390,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2205.pdf
1329954,2122295,text,10129,application/pdf,Introduced,https://legiscan.com/RI/text/S2206/id/2122295,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2206.pdf
1330381,2122756,text,82283,application/pdf,Introduced,https://legiscan.com/RI/text/S2207/id/2122756,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2207.pdf
